pop1	pop2	pop3
Franceville	NewOrleans	Thies
Franceville	NewOrleans	Ngoye
Franceville	NewOrleans	PK10
Franceville	NewOrleans	Rabai2009
Franceville	NewOrleans	Rabai2017
Franceville	NewOrleans	Kwale
Franceville	NewOrleans	ElDorado
Franceville	NewOrleans	PassoFundo
Franceville	NewOrleans	PatosdeMinas
Bantata	HoChiMin	Thies
Bantata	HoChiMin	Ngoye
Bantata	HoChiMin	PK10
Bantata	HoChiMin	Rabai2009
Bantata	HoChiMin	Rabai2017
Bantata	HoChiMin	Kwale
Bantata	HoChiMin	ElDorado
Bantata	HoChiMin	PassoFundo
Bantata	HoChiMin	PatosdeMinas
